Project,Address,Latitude,Longitude
University District Apartments,4738 15th Ave NE,47.66420514,-122.3116277
Liberty Bank Building,2320 E Union St,47.61323264,-122.3017908
Estelle Supportive Housing,3501 Rainier Ave S,47.57032309,-122.2920326
Building 9,7101 62nd Ave NE,47.62024593,-122.3506866
University Commons,5019 Roosevelt Way NE,47.66563602,-122.3177288
Mercy Othello Plaza,6940 MLK Jr Way S,47.54034954,-122.2827063
7th and Cherry Apartments,710 Cherry Street,47.60546373,-122.3275598
Raven Terrace,820 Yesler Way,47.60179153,-122.3222682
12th & East Jefferson Workforce Housing,500 12th Avenue,47.60620723,-122.3166921
Aurora Supportive Housing,10507 Aurora Avenue N.,47.70510921,-122.3448748
Columbia City Station Apartments,4484 MLK Jr. Way S,47.56309045,-122.2947102
Sunset House,2519 1st Avenue,47.61471992,-122.3489685
Pontius Apartments,219 Pontius Avenue N.,47.62025397,-122.3320656
Mt Baker Lofts,2915 Rainier Ave. S.,47.5774219,-122.2975592
Jackson Street Senior Housing,2010 South Jackson,47.599344,-122.3061815
